Aircraft,AirlineName,CabinType,DateFlown,DatePub,EntertainmentRating,FoodRating,GroundServiceRating,OriginCountry,OverallScore,Recommended,Review,Route,SeatComfortRating,ServiceRating,Slug,Title,TravelType,TripVerified,ValueRating,WifiRating,unique_id
Boeing 787,Xiamen Airlines,Business Class,September 2019,7th November 2019,2,2,4,Ireland,4.0,yes,"Dublin to Xiamen via Amsterdam. The crew were really pleasant and went out of their way to be helpful. Very clean plane and comfortable seat - the usual lie flat. Entertainment was so poor with a very small selection of movies. Maybe we expect more as the western/mid-eastern airlines give you a really decent selection. The food was below par and no great shakes at all. Big no-no - they did not serve any vodka! This is a very first for me on any airline worldwide and I fly 30-40 times a year. With gin is this possibly the worlds most popular white spirt? I only drink an odd vodka and tonic so I went without. However, for the value and it was an offer, I had to give 4 stars. Other airlines for my destination were €4-500 more expensive and that is a big saving. If the fare narrows to €2-250 I would fly another.",Dublin to Xiamen via Amsterdam,4,5,xiamen-airlines,crew were really pleasant,Solo Leisure,Trip Verified,4,0,04a027c5-ee5c-4928-ab3c-ee28db930ffd
Boeing 777,Xiamen Airlines,Economy Class,June 2019,6th November 2019,2,3,3,UnitedStates,4.0,no,"Los Angles to Jakarta via Xiamen and a stop in Qingdao that was not mentioned during reservation. Very competent crew, attentive and I found them to have an OK English but not fluent. The food was good for the most part. Poor management with long layovers.  The air line damaged one piece of the luggage that they would not acknowledge( was soaked in oil) also the airline would not honor the flown miles which was very odd after communicating with them numerous times regarding that. It was the first time flying with them and probably the last time.",Xiamen to Los Angeles,3,3,xiamen-airlines,probably the last time,Business,Trip Verified,4,0,d7d49f21-f308-4721-aedd-8b577590b1ee
Boeing 787-9,Xiamen Airlines,Business Class,September 2019,14th September 2019,5,4,5,UnitedStates,10.0,yes,New York to Nanning via FuzhouThis was overall a good flight. Very competent crew. Very attentive and I found them to have an OK command of English but not fluent. From JFK to FOC the seats were comfortable and the IFE was adequate. The food was good for the most part. When drinks got low the flight attendants brought another without me having to ask. We had about a 15 hour layover in Fuzhou but they gave us a premium hotel room plus free transportation. The aircraft from Fuzhou to Nanning was changed to a single class 738. We were reimbursed the difference in cost between business class and economy and given priority boarding and our seats were left open in the middle so that we had more room. The flight was about 40 minutes late leaving Fuzhou but that was an air traffic control issue and not Xiamen Airlines issue. Well worth the money and I recommend this airline. My only issue are long layovers because I have another one on the upcoming trip home.,New York to Nanning via Fuzhou,4,5,xiamen-airlines,overall a good flight,Couple Leisure,Trip Verified,5,3,89b66262-54b4-4b7e-b157-5ef0812fe6ca
Boeing 737 / 787,Xiamen Airlines,Economy Class,March 2019,29th March 2019,3,1,5,UnitedStates,3.0,no,"Just finished a round trip LAX - Qingdao - xiamen - Taipei. The return trip didn't involve Qingdao. I picked this airline because it was cheaper than China and Eva air. There were actually even cheaper fares with Air China and China eastern but I refuse to fly with them due to the horrendous reviews. 787 for the Long haul were nice. Planes were fairly new. Good amount of pitch. Movie selections were limited but adequate. Food was terrible for our taste. The kids meal for my 11 year old was also mostly inedible. Service was great however. Flight attendants had great attitude and seemed to be working nonstop. 737 between Xiamen and Taipei was old and dirty. Don't understand why they would also offer a meal for such a short flight. I hate wasting food but couldn't eat that one either. Transit at Qingdao was confusing. We were given the wrong arrival cards twice so had to rewrite them 3 times. Transit hotel in Xiamen was free for our 8 hour layover. Hotel was not in good shape. I would rate it 2.5 star. On our return trip, we took the hotel option again and asked if we could pay extra for a better hotel. He said no and insisted to give us 3 rooms for the 5 of us. Then he entered in one of the names wrong on the reservation. I now have some personal information of some guy named Dustin. The hotel this time is a different. Not as bad, maybe a 3.5 star. But both hotels didn't have non-smoking rooms. I overheard another guest requesting a non-smoking room and was rudely told to come back down and ask for another room she didn't like the room. We don't think we'll fly Xiamen again. Layover in Xiamen would be nice if the city had much to offer.",Taipei to Los Angeles via Xiamen,5,5,xiamen-airlines,because it was cheaper,Family Leisure,Trip Verified,5,1,8a9aa221-0022-4059-a347-91f82332976d
Boeing 787-8,Xiamen Airlines,Economy Class,November 2018,21st March 2019,3,4,1,Singapore,10.0,yes,Singapore to Los Angeles via Xiamen. Enjoy when inside aircraft which clean and comfortable seat on Boeing 787-8. Plenty of food and drinks provided. The only problem when check in to the flight from Xiamen Airport to Singapore Changi Airport. Long queue as many other tour tourist line up. Ground handling spoil / damaged my baggage but Xiamen Airline replaced new baggage for me.,Singapore to Los Angeles via Xiamen,5,5,xiamen-airlines,comfortable seat on Boeing 787-82,Solo Leisure,Trip Verified,5,0,55c1bb51-7821-4946-8215-ac99ef6a2384
Boeing 737 / 787,Xiamen Airlines,Economy Class,March 2019,10th March 2019,4,5,5,UnitedStates,8.0,yes,"Ho chi Minh to Los Angeles via Xiamen. Good flight. Check in fast and easy Boarding. Meals and services was good. Clean aircraft offer bottle of water and peanuts before meal services.  Offer drinks entire the flights. Only things communications with cabin crew. If they know what you want they will help you. If not, they just ignore you. Transit in Xiamen they provide free hotels over 8 hours layover. If you are solo traveller try to pay extra because otherwise they will pair you with other travellers. You have to pay taxi.",Ho chi Minh to Los Angeles via Xiamen,5,4,xiamen-airlines,pair you with other travellers,Solo Leisure,Trip Verified,5,0,98e1449b-85cf-4a1e-8bf9-6d08e72994ee
Boeing 737-800,Xiamen Airlines,Economy Class,January 2019,11th January 2019,4,5,4,Vietnam,10.0,yes,"Xiamen to Ho Chi Minh. Great flight with cheap ticket. Legroom is comfortable, food is good and cabin crew is superb. Our flight is 252 usd for return flight from HCM to Shanghai via Xiamen Airport.",Xiamen to Ho Chi Minh,4,5,xiamen-airlines,Legroom is comfortable,Couple Leisure,Trip Verified,5,0,5973a8a9-4c9a-424a-8b4d-3c0197a7023b
Boeing 787,Xiamen Airlines,Business Class,November 2018,4th December 2018,2,3,1,UnitedStates,2.0,no,"Seattle to Manila via Xiamen. My wife and I planned a trip to the Philippines from Seattle and decided upon Xiamen Airlines Business Class. The routing was Seattle, Shenzen, Xiamen and Manila. We traveled late October 2018. The seating configuration in the Boeing 787, Business Class was 2-2-2. The seats were lay flat for sleeping, but unfortunately were leatherette covered which meant one would slide forward when seated upright due to the slippery covering. Lunch was served and I chose duck. This was the consistency of rubber and virtually inedible. The 12.5 hour flight was uneventful, however during this time the cabin staff barely checked on us. When they did, there was a distinct language problem. We couldn't understand them and they couldn't understand us! One would think when one is on a international flight a common understandable language should be used. When we arrived at Shenzen we had a layover of 2 hours during which time we had to clear Chinese Customs and Immigration. After this we had to wait in a departure lounge without being told anything about our next flight leg. There were about 12 onward passengers waiting for the next leg. Eventually we were told our boarding gate and ETD. The flight to Xiamen was around 1 hour. After arrival we had to pick up our luggage and we went to the Xiamen Airlines counter to get a hotel voucher as we had 20 hour layover. Xiamen Airlines to not have a hotel bus or any means to transport us to the hotel. We had to change money to get a taxi. This was an effort in its own right. We did leave some of our baggage at the left luggage office at the airport, which helped. The next day we caught a taxi back to the airport. We go through security on entry to the airport before checking in for our flight to Manila. I should mention that boarding to Manila like the short leg for Shenzen was chaos. No boarding by class or seating, just go for it! Service on board was almost like a domestic flight, again a language problem. We arrive in Manila after almost 36 hours after leaving Seattle. It was nice to experience the friendliness of Philippine Customs and Immigration. The return from Manila to Seattle every bit as bad as when we arrived late (11:30pm) in Xiamen we had to clear customs and immigration and by the time that happened it was around 2am banks were closed and we had now money for a taxi to the hotel we finally change $20 with a Xiamen Airline staff member and got to the hotel around 2:30 am. We were again routed via Shenzen and had to go through immigration and carry ALL bags through security. The flight back was slightly better, but there was still the language barrier. All in all the Xiamen Airlines experience was poor. The airline should make sure the cabin staff have sufficient English to carry out a basic conversation. The airline should upgrade all staff to a level of what is expected from a good international airline. At the moment they are a 3rd rate airline.",Seattle to Manila via Xiamen,2,1,xiamen-airlines,they are a 3rd rate airline,Couple Leisure,Not Verified,2,0,67f62875-6a3d-453c-ae0a-53d6ddfdb19e
Boeing 737-800 / 787-8 ,Xiamen Airlines,Economy Class,November 2018,3rd December 2018,4,4,3,Singapore,8.0,yes,"Singapore to Vancouver via Xiamen. Note that my rating here is for XMN-YVR, not considering SIN-XMN, and not taking into account the visa issues at XMN. If you are not a holder of one of the 53 countries' passports that qualify for visa exemption by the Chinese government, then you need to apply for a visa before flying. XMN does not offer visa services at the airport. The main reason for the need of a visa is, XMN does not have a usual transit arrangement, which usually doesn't require you to go through immigration. At XMN, in order to transit, you have to go through immigration, which means you are entering China and then leaving China officially, just to transit between flights. This is why people transiting with passports that do not qualify for visa exemption have to apply for visa. If you are unsure, please make sure you email your local Xiamen Air representatives to check. Regarding SIN-XMN, it was below average. It was an older aircraft, without individual IFE system. The stewardesses were willing to help and respond to demands, but they were typically brisk and curt with their responses. Food was okay, not remarkable. XMN-YVR was excellent. The economy seat was comfortable, and leg room was good. Food was excellent and more than sufficient. In fact, the stewardesses made rounds between meals to ask if people wanted snacks, like bread rolls, sandwiches, or peanuts. The stewardesses were very friendly and approachable, very willing to help the passengers. It is unfortunate that their command of the English language is below average, but if you speak Mandarin, then you are fine. All in, it was an excellent flight at a very cheap price. I think, if you are travelling on Xiamen Air's Boeing 787, then there is a good chance that your flight will be a very good one. But if you are travelling on Xiamen Air's older aircraft, then you may not get to experience the better side of the airline. Finally, there is no online check-in services for international flights for Xiamen Air. You can choose your seats only if you spend some money. Otherwise, you have to request for your seat at the counter at the airport. So, if you want to choose your seats, either pay for it, or go to the airport and check in early (I went 2.5hr before flight) to get the seats that you want.",Singapore to Vancouver via Xiamen,5,4,xiamen-airlines,at a very cheap price,Solo Leisure,Trip Verified,5,1,2c8c1147-3da1-46da-8145-443695eeb591
Boeing 737-800,Xiamen Airlines,Economy Class,November 2018,28th November 2018,1,5,3,Malaysia,9.0,yes,"Kuala Lumpur to Xiamen. The aircraft offers basic comfort and only overhead entertainment. I was impressed by the crew service - they were polite to the elderly folks onboard, checking on them and offering them blanket and pillow. The food is very local and tasty Chinese food, which I enjoyed. I will fly Xiamen Airlines again.",Kuala Lumpur to Xiamen,4,5,xiamen-airlines,tasty Chinese food,Solo Leisure,Trip Verified,4,0,082b08f1-857d-45b2-a7fb-65eaadb73dd0
Boeing 737-800,Xiamen Airlines,Economy Class,November 2018,17th November 2018,0,3,4,HongKong,8.0,yes,"Hong Kong to Wuyishan. It's a leisure trip to visit the homeland of tea: Wuyishan, Fujian province. Xiamen Airlines does a twice weekly direct flight from Hong Kong. They deploy a small 737 aircraft. Similar to Malaysia airlines when using this small aircraft, 4 cabin crew work tirelessly to keep the journey smooth and comfortable. With one aisle and 3x3 seating, the pitch is quite comfortable. A simple hot meal (in the style of a bento box) is served, and is sufficient for a short 90 minutes journey. 2 rounds of drinks is a nice touch. Seat has no power outlet or personal, we were provided visual entertainment in the form of overhead TV, with mainly Chinese program. Luckily, since January, mobile phones in flight mode are now allowed to be used on board. So you can still listen to your favourite music, or watch your own videos etc., on your phone or tablets. That really help kill time. If there is one complaint, it's the excessively warm cabin temperature. I am impressed by this airline. I wouldn't mind trying them for long haul flights in future.",Hong Kong to Wuyishan,4,4,xiamen-airlines,impressed by this airline,Solo Leisure,Trip Verified,4,0,98419669-b679-45c0-95ed-2d8c59874a84
Boeing 787,Xiamen Airlines,Economy Class,November 2018,14th November 2018,3,5,4,Australia,8.0,yes,Sydney to Fuzhou. The service in flight was good. The food was fantastic compare to Air China. Too many peoples onboard during the flight. We had to wait when we arrived Xiamen.,Sydney to Fuzhou,4,5,xiamen-airlines,food was fantastic,Family Leisure,Trip Verified,4,3,8de9257f-266b-4c06-bed8-d3a0daefefd0
Boeing 737-800,Xiamen Airlines,Economy Class,September 2018,10th September 2018,3,4,4,China,3.0,no,"Beijing to Fuzhou, and the experience is not good at all. It disappointed me a lot. I have to admit the food & beverage are decent. But I got cold before the flight so I tried to ask for a blanket from the cabin crew. The lady was not so nice and showed obvious impatience for such normal request she told me she will remember but she never got back to me. The AC was strong and I had to suffer it for 3hrs.If possible, I will try to avoid Xiamen Airlines and also not recommend my friends to take it.",Beijing to Fuzhou,4,1,xiamen-airlines,try to avoid Xiamen Airlines,Business,Trip Verified,3,1,2ec633c9-8b4f-4b0e-bcb9-c1603a5ff040
Boeing 757,Xiamen Airlines,Economy Class,July 2018,3rd August 2018,0,5,5,UnitedKingdom,9.0,yes,Xiamen to Guangzhou. Whilst it was an old aircraft it was very comfortable and clean. The crew were lovely and for a short flight the food was very good. The facilities at Xiamen airport are mostly supplied by the airline and are first class.,Xiamen to Guangzhou,5,5,xiamen-airlines,comfortable and clean,Business,Trip Verified,3,0,c0d1e3df-06e1-4ad1-a8af-95df5229aaf2
Boeing 787-9,Xiamen Airlines,Economy Class,May 2018,10th May 2018,5,5,5,UnitedStates,10.0,yes,"Los Angeles to Seoul via Xiamen. We booked this airline because 3 of us could go round trip for the price of 1 major carrier! Such a deal - R/T LAX to ICN (Seoul Korea) for $450 per person!  If you are not Asian or don't like Asian food - please pack your own food. Found this airline to be just as professional, efficient, and friendly to fly with. Our flight did have to go thru 2 Chinese ports of entry (Qingdao & Xiamen). The flight was very comfortable due to the new airplane (Boeing 787-9). I noticed the increased air pressure (6000 ft elevation) and increased humidity did not dry me out and felt good at the end of 14 hours in flight. The flight staff was very courteous, attentive, and tried their best with English but Google translate came in handy to communicate. Wifi was available but not very good - too many people using it and not enough bandwidth for streaming. Food was good - 2 hot meals and 2 cold snacks in-between kept you full and satisfied. Very Chinese cuisines on all 4 legs of the flight (2 international, 2 domestic). Just remember, the airline is Chinese and therefore will serve Chinese food - don't expect Panda Express type food like the US. The food is primarily pork based with some fish, chicken or beef offering. If you elect vegetarian or muslim or any other special needs food, make sure you request this 24 hours before your flight. I saw some western folks unhappy with seeing unfamiliar Chinese food being served on a Chinese airline - I had to chuckle watching them eat the bread and desert for their meals. The only issue which is not the airline's fault was going thru Chinese immigration. We did not have a Chinese visa which is normally required for landing in China, but 50+ countries can ""transit"" thru China if you can prove your final destination is outside of China. The government issues a temporary transit visa for those that are going thru the country - it's good for 24 hours. At our 2 hr layover for refueling, Qingdao was the worst - they scrutinized and held up the entire non Chinese group of passengers looking for errors & past problems. They pulled 2 passengers out of the group for failing to register with a local Chinese police agency the last time they were in China. Military uniformed people surrounded them making you feel like you are in a communist country.... The airline staff was very good at preparing you for Chinese immigration - having your itinerary with you, boarding pass with correct name spelled, etc. Landing at Xiamen was much easier and nicer immigration folks. We even had time to visit the First class airport lounge using our Amex Plat card. Return trip was good and we even had an overnight layover and the airline provided a hotel for the night at no cost which was nice. We did have to pay the taxi rides both ways so remember to bring some Chinese Yuan (RMB) currency. We got to also go on a tour of the city on a double decker sightseeing bus that took us all around the perimeter of the island. Overall, a very nice new and fresh airline to fly with for many Asian countries.",Los Angeles to Seoul via Xiamen,5,5,xiamen-airlines,new and fresh airline,Family Leisure,Trip Verified,5,1,02b6769f-5f5e-471d-acf9-44455c3c78cf
Boeing 737 / 787,Xiamen Airlines,Economy Class,April 2018,22nd April 2018,3,3,1,Thailand,1.0,no,"Bangkok to Vancouver via Xiamen. Took a chance on a bargain fare and you get what you pay for. If over 6 Foot and 195 Lbs, you best get an Isle seat safety door or you’ll have no room to move. If you get stuck in a window seat you’ll never get out of your seat. Being a bargain flight they pack you in worse than a sardine tin! If you want to change your flight date be aware the airline charges $159.00 US plus, plus to change. My partner wished to change her flight to an alternate day and it was cheaper to buy a ticket with another carrier. Xiamen Airport is hideous and they charge almost $20 US fee to exchange any money and only 2 food stores take credit cards. A bowl of soup and a bottle of water costs about $25.00 US This airline is good for backpackers only. Spend a little more and fly another airline.",Bangkok to Vancouver via Xiamen,1,4,xiamen-airlines,fly another airline,Couple Leisure,Trip Verified,1,0,c35f8fb8-3422-443c-a092-5f71f8fc149d
Boeing 787,Xiamen Airlines,Premium Economy,January 2018,15th January 2018,0,0,1,UnitedStates,1.0,no,"Manila to Los Angeles via Jingdiang / Quingdao. I have never taken the time to write a negative review in my life. Call me old fashioned, but I just do not care enough to complain online for other people to read. I booked a one way return flight on Xiamen a week or so ago from Manila to LAX with two layovers in China. I have flown with China Eastern, China Southern, Air China and China Airlines, so I thought nothing of it. Another pass through China and I would be in Los Angeles for my mothers birthday on the 16th. Upon arriving to the airport 2 hours early and checking in I was notified I could not board my flight because I didn't have proper clearance. I explained to the rep that I had no plans of entering CHINA and would only be passing through. Still not allowed. I explained I had been through China 4 times on layovers and never had an issue. Still not allowed. Long story short it took two hours arguing for the airlines to agree to a 30-60 day refund. It turns out Americans cant connect through their layover city so they are selling tickets that are unusable. No compensation. Just blank faced souless stares. Avoid this airline at all costs.",Manila to Los Angeles via Jingdiang / Quingdao,0,0,xiamen-airlines,Avoid this airline,Solo Leisure,Trip Verified,1,0,a67276f8-556d-4067-b17d-94348ec454e3
MF852,Xiamen Airlines,Economy Class,December 2017,21st December 2017,0,0,0,Singapore,1.0,no,I booked my flight using eDreams from Singapore to Los Angeles via Xiamen and the ticket I got was as follows Singapore to Los Angeles via Xiamen (Layover 2h 35mins) Los Angeles to Singapore United (Direct Flight). I hold a valid USA visa and thus was all set to board the flight. When I reached the airport at the counter I was told by the staff that in order to take the Xiamen flight I need to have a China Visa (There is some rule where people from 7 countries in the world need to do when transiting via Xiamen). I asked the airline staff that I was not given any prompt at the time of booking nor is any such requirement mentioned on Xiamen website and on the internet however I was not helped. In order to not spoil my families vacation I bought a one way ticket to USA on another airline. I was not reimbursed for my original ticket let alone any compensation for my new booking. I've been contacting Xiamen Airlines about why is this rule not mentioned on their website as it is such a unique requirement however they're unable to respond to me properly. In their defence they're quoting the requirement of need of a visa for China for people from all over the world except for 51 specific countries if you want to transit for less than 3 days however my case is different. I just had a layover of 2 hour and 35 minutes. I am extremely disappointed and would not recommend anyone to take this airline as their staff is not helpful and neither is their customer service.==,Singapore to Los Angeles via Xiamen,0,0,xiamen-airlines,I am extremely disappointed,Family Leisure,Trip Verified,1,0,87737117-0c73-4868-97bb-59c3818f1ea3
