Aircraft,AirlineName,CabinType,DateFlown,DatePub,EntertainmentRating,FoodRating,GroundServiceRating,OriginCountry,OverallScore,Recommended,Review,Route,SeatComfortRating,ServiceRating,Slug,Title,TravelType,TripVerified,ValueRating,WifiRating,unique_id
,United Airlines,First Class,November 2017,21st November 2017,1,1,1,UnitedStates,1.0,no,"Flew Chicago O'Hare to Tampa. We purchased our first class tickets on Aug. 4th 2017. We were given the option of selecting our seats so we did. (Seat 3A and 3B). We wanted to sit next to one another as most married couples do. Fast forward to today when we used the United Airline app to check in and download our boarding passes. Once we had gotten them and started to look them over guess what we found out? Our seats had been changed. When we called to verify we were told by someone not speaking very good English that since the plane was changed our seats had to be changed. I asked if this plane had seats 3A and 3B on it. We were told that indeed it did, but those were already occupied. We were then told that we agreed to ""any necessary changes in planes or seat assignments"" when we agreed to the ""terms and conditions"" of our ticket purchase. Since we don't have any way of changing airlines at such a late date we will have to live with not sitting in the same row as we had planned. This is the second time in as many first class flights that United has done this to us. I guess someone paid more money or had better connections then we did. Don't count on being treated like a paying customer by this airline. Once they have your money they don't care if you are happy flying the friendly skies or not.",Chicago O'Hare to Tampa,1,1,united-airlines,Our seats had been changed,Couple Leisure,Trip Verified,1,1,a8159403-aad0-473b-8346-d285a01513e0
,United Airlines,Economy Class,November 2017,21st November 2017,0,0,1,UnitedStates,1.0,no,"San Francisco to Houston. Every time I fly United, I think they can't be that bad. And every time I’m wrong. Horrible customer service, most flights horribly delayed, no compensation because of “weather”, no flexibility on where bags get checked, completely unorganized in how they manage their overbooked flights. Just don’t do it.",San Francisco to Houston,1,1,united-airlines,Horrible customer service,Solo Leisure,Trip Verified,1,0,8da1854a-ddc2-4b09-81b1-8e97ab5a31fe
,United Airlines,Economy Class,November 2017,19th November 2017,0,0,1,UnitedStates,1.0,no,"Bradley to Norfolk. I didn’t even get to fly with this airline. I arrived an hour before my scheduled flight and the employee checking us in made us walk across the airport to buy a card which would allow us to check our bags in and then when we arrived back to her at 5:38 am, she told me that they already closed the gates and wasn’t letting one in. The flight wasn’t until 6 am and I couldn’t believe she wouldn’t let us in by 5:38 am. I will never use this airline again. I’ve never experienced such a thing.",Bradley to Norfolk,0,0,united-airlines,never use this airline again,Family Leisure,Trip Verified,1,0,9becf8ca-f732-46ce-8dfb-7900b94ed8d8
,United Airlines,Economy Class,November 2017,18th November 2017,2,3,1,UnitedStates,1.0,no,,Phoenix to Houston,1,5,united-airlines,I will never fly United again,Business,Not Verified,1,1,0232208e-a987-406d-99ac-f0292170559f
,United Airlines,Economy Class,November 2017,18th November 2017,1,1,1,UnitedStates,1.0,no,New York to Seattle via Washington. Delayed flying from New York to DC thus arrived 25 minutes late. Missed the connecting flight despite the plane still standing at the gate. Arrived at 9:30pm with a rescheduled flight. Instead of 3.30pm. United did not offer an apology. Don’t waste your time and money with an airline that has no standards.,New York to Seattle via Washington,1,1,united-airlines,airline has no standards,Solo Leisure,,1,1,06c2f420-643a-4d6b-b336-1e6850037a06
,United Airlines,Economy Class,November 2017,17th November 2017,1,1,1,UnitedStates,1.0,no,Taking a flight with United is worse than riding a bus. At least with a bus you can get off and walk or talk to the driver so you know what is going on. Shortly after booking our flight our layover was extended 4 hours with no option to reject this or get a refund. Now I am sitting her and layover continues to be extended with no communication. This is by far the worst airline. They used to set the standard and now their standards are nowhere to be found.,Denver to Asheville via Chicago,1,1,united-airlines,worse than riding a bus,Couple Leisure,,1,0,a3ede64d-94a3-420f-b56a-57de244c5020
,United Airlines,Economy Class,November 2017,17th November 2017,1,1,1,UnitedStates,1.0,no,"Boston to Denver. The rudest and most unapologetic airline staff and counter agents. Flying from Boston to Denver and the flight keeps getting further and further delayed every half hour. Went for a 9:10pm landing time to 11:44pm!  When I asked why the flight was being delayed over and over the woman who showed up 2 hrs after we were set to take off at the ticket counter says"" this happens 20 times a day. It's delayed out of Newark"" - no ""I'm sorry for any inconvenience, I apologize"" no nothing! Just a rude and obviously annoyed staff with no regard for the customer experience at all! I will never fly out of Boston again and will avoid United at all costs!",Boston to Denver,1,1,united-airlines, will avoid United at all costs,Business,,1,1,f4dee6fa-977e-4b36-acc7-072d74d3e6da
,United Airlines,Economy Class,November 2017,15th November 2017,1,1,3,UnitedStates,1.0,no,"Newark to Havana. What a terrible experience. I would expect at least a small meal for a 4 hr flight. None. On the way to Havana there was in-flight entertainment but you had to pay for this! I didn't know this was possible nowadays. Beyond this, the quality was so bad, it was definitely not worth it. I asked whether I could buy food and she asked what I wanted and left, my husband didn't even get a chance to order something himself. When the flight attendant came back with my food, my husband ordered something and I overheard one flying attendant saying to the other ""now the guy also wants something"" in a bad tone. Seriously? Also, there was no restriction on carry-on baggage size, so people had such oversized carry-ons that all the compartments were basically full before half of the people had entered the plane. On my way back the seats didn't even have screens! I felt like I was in the 90s. And there was no fresh food available, only snacks to purchase. One of the flight attendants was super unfriendly. What a bad experience. I didn't book the flight myself but if I ever get the chance, I would never book a flight with United Airlines. The only good thing about it is the nice terminal at EWR.",Newark to Havana,2,1,united-airlines,What a terrible experience,Couple Leisure,,1,1,0a141ab7-8b16-4546-8f57-c0e4dd7bb83a
Boeing 737,United Airlines,Economy Class,November 2017,15th November 2017,1,1,3,UnitedStates,1.0,no,"Perhaps the most uncomfortable flight in 40+ years of flying. Flight segment from Newark to SLC on a 737 offered the most cramped seating in memory. Legroom/seat pitch was the smallest I've experienced. When I asked the flight attendant if there was a better seat available, and if so what the upcharge might be, he offered to move me to a seat with a vacant center seat so that I could sit crossways with my legs under the middle seat. After an hour or so ""restless leg syndrome"" set in, a very unusual condition for me, and remained for the duration of the flight. I spent the last hour plus standing up. I should add that there were legroom seats available, but not offered. I strongly resent being required to pay $100 plus for such an upgrade, even if it had been offered. The seat pitch in economy is absolutely unacceptable for me. I also resent being required to pay for any video.",Portland to Salt Lake City via Newark,1,2,united-airlines,most cramped seating in memory,Solo Leisure,,2,2,98f64dd1-dadb-49ae-a49f-c3cf2170ba15
Boeing 737,United Airlines,Premium Economy,November 2017,15th November 2017,0,0,1,UnitedStates,1.0,no,"Salt Lake City to Portland via Newark. After having received no email invitation to check in for this flight, I called the UAL phone number to check in. I notified the agent that I was extremely dissatisfied with the seat comfort (legroom) on my last flight and requested an upgrade. He offered an upgrade for $99 and refused to change my seat until I paid this. I paid it, but the process took over 20 minutes when he was unable to communicate well enough to take down my billing information (both the CC number and the address were taken incorrectly more than once). His English was only marginal. The process was extremely aggravating and I resent being required to pay extra for adequate legroom. If the airline had clearly communicated their available legroom on the original booking, I would have booked another airline with more. I will spare no effort to avoid flying United Airlines again. This experience makes a mockery of the concept of ""the Friendly Skies"".",Salt Lake City to Portland via Newark,3,2,united-airlines,avoid flying United Airlines again,Solo Leisure,,1,1,47049f9c-dc9c-4037-880e-b1737d565d37
Boeing 737,United Airlines,Economy Class,November 2017,14th November 2017,1,1,1,UnitedStates,1.0,no,"Louisville to Phoenix via Chicago. This is ridiculous. Now you not only have to pay for food but you also are provided with no entertainment in a 4-hour flight, unless you pay for Direct TV. The worst part is you are forced to pay with credit card if you want to see old movies such as The Lion King or Office Space. How can they rip you off that badly? They force to travel like sardines, they have no empty seats so checking in and out of flights involves standing in long lines to make sure that when you get on board your carry-on luggage will have space. They keep asking us for our cooperation because of a full flight. What do they do to make sure we have an enjoyable flight? We have to pay for food if we want it, pay for entertainment and suffer through the entire flight with the extra tiny space that they have given us in, for example, a Boeing 737. We, us customers, deserve a little better than this. Now you pay for checked bags, what are they going to charge us next? It needs to stop.",Louisville to Phoenix via Chicago,1,1,united-airlines,deserve better than this,Business,,1,1,dd52b4d9-b984-4aea-a61c-4f584de46eda
,United Airlines,Economy Class,November 2017,12th November 2017,0,0,1,UnitedStates,1.0,no,"Richmond to Chicago. Customer service is the worst, if you would like to prevent your bags from being destroyed, it's best to pack light and carry on the plane, or check in your bag at the airplane. I purchased a bran new bag before flying and United destroyed it. Im not someone that flies all the time, so I didn't know I needed to get this taken care of within 24 hours, flying for the first time in 10 years and flying to Chicago was scary and it was a business trip. So I decided to wait until I got back to Richmond as I figured my bag would just get destroyed more. Once in Richmond the lady in the baggage desk for United just wanted to argue with me that the quality of my bag wasnt good. Didn't even apologize that United destroyed my bag. And for that lack of empathy on her part, I will never fly United again.",Richmond to Chicago,2,3,united-airlines,I will never fly United again,Business,,1,0,15935f2e-36ab-43d4-ad6d-82b050dc957e
Boeing 757,United Airlines,Economy Class,November 2017,11th November 2017,2,1,1,UnitedStates,1.0,no,"Houston to Newark. Worst airline I’ve ever flown, and will be the last time for me to fly this airline. It’s absurd that someone cannot even pay for an upgrade, and be treated with disrespect from a rude United airline employee for requesting to do so.",Houston to Newark,2,2,united-airlines,cannot even pay for an upgrade,Solo Leisure,,2,1,d218e63c-4a5d-426c-9eee-b1850a19b04c
,United Airlines,Economy Class,November 2017,9th November 2017,0,0,1,UnitedStates,1.0,no,Palm Springs to San Francisco. Bought economy ticket which only allowed personal item to bring on plane and small size carry on. Suitcase needs to be checked it with $25 charge. However it was clearly stated on United web that if you have United  explorer Credit card you can bring small suitcase Carry on to the plane free of charge. I was told during check in that ticket must be purchased with United explorer Credit card in order to bring carry on inside plane free of charge. I bought ticket with a different card I kept showing them United web but  they would not pay attention and charged me $25.,Palm Springs to San Francisco,2,2,united-airlines,United Airlines customer review,Solo Leisure,,2,0,cd75ff4e-d0af-4b31-8621-264e4f091091
Boeing 737-800,United Airlines,Premium Economy,October 2017,7th November 2017,4,3,4,UnitedStates,8.0,yes,"Tampa to San Jose via Houston. Check in at TPA was quick and efficient. Boarding was timely and disciplined. Once we were all.seated and the main door was closed, the captain came on the PA to announce that there was a mechanical issue that would take at least an hour to fix. We all disembarked and general panic set in amongst those of us who were connecting in Houston. The experienced flyers amongst us understood that a one hour mechanical delay is usually the precursor to a cancelled flight, a missed connection, and an overnight stay in Houston. The harried gate agents began to reschedule connecting passengers. They had made some progress with the long line of nervous customers when at exactly one hour later, the head agent came on the PA to announce that a hydraulic leak had been repaired and that we were ready to reboard and depart for IAH. On both flights, I had the window seat in the forward over-wing emergency exit with the middle seat unoccupied. This is the seat I always reserve because the leg room is awesome and the passenger in front of you can't recline into your space. On the IAH-SJO flight I had the whole row to myself, which in some aspects is better than getting upgraded to 1st class. Pretzels and beverages were distributed efficiently on both flights, and more elaborate snacks and meals were available for purchase. The attendants were pleasant and courteous, the flights were smooth, and we arrived in San Jose safe, sound, and early. Despite the delay departing from Tampa, this turned out to be a pleasant day of flying.",Tampa to San Jose via Houston,5,4,united-airlines,a pleasant day of flying,Solo Leisure,,3,5,715aec55-b361-4e2b-931c-6404b2190856
,United Airlines,Economy Class,November 2017,7th November 2017,1,2,2,UnitedStates,1.0,no,Bismarck to Pittsburgh. Flight there was bearable but my flight back got cancelled on me (it may have been my fault) but the airport staff was terrible. They were basically saying well suck for you it’s not my problem. I ended up having to drive because of the absurd prices. Then the sad thing is that we went over to Delta and they were the nicest people ever and tried to help me. Later my brother left the same day to Fargo and his flight got so delayed that he missed his next flight. I ended up having to pick him up on my way just so he could get back without having to buy a whole other ticket. Will gladly say I will not fly United in a long time again.,Bismarck to Pittsburgh,1,2,united-airlines,not fly United in a long time again,Solo Leisure,,1,0,78afc626-4096-4f90-ad3e-ba261f2d2651
,United Airlines,Economy Class,November 2017,6th November 2017,0,0,4,UnitedStates,10.0,yes,San Francisco to Orange County. I wanted to give Antonio C..... at the SFO airport a big thank you for understanding my situation and accommodated my request for earlier flight. Great employee at this airport was very understandable and sweet. Agent at the kiosk was very rude and not helpful.,San Francisco to Orange County,2,2,united-airlines,understanding my situation,Solo Leisure,,2,2,4460c216-70be-4ea8-a179-5f06d83d20d0
,United Airlines,Economy Class,November 2017,6th November 2017,1,1,1,UnitedStates,1.0,no,"Newark to San Francisco. I arrived at SFO at midnight. While collecting my baggage, which I had checked in after paying a baggage check in fee, found out that my baggage was coming on another flight. I have meeting starting at 8 in the morning and all my stuff are in the bag. I am still waiting for the the next flight at the airport and writing this review. I am waiting for the flight where my baggage is suppose to be and collect it and before I go all the way to my hotel. Delivery starts at 7:30, I cannot wait that long as I need my stuff the first thing in the morning.",Newark to San Francisco,1,1,united-airlines,baggage was coming on another flight,Solo Leisure,,1,1,f711d37d-3801-495c-86ac-17c3d01a59f6
Boeing 767-300ER,United Airlines,Economy Class,November 2017,5th November 2017,3,2,2,NewZealand,2.0,no,"Poor safety skills from the crew. Bassinet not removed for landing, people with tray tables down, seats reclined and exit row persons had their screens still out. Would have been an absolute disaster in an emergency. My pen ran out while filling out the customs form, the flight attendant told me I should have brought a spare. Extremely rude. Seats were average as expected, we were in an exit row so legroom good. Food was average however snacks were provided frequently.",San Fransisco to Auckland,2,1,united-airlines,Poor safety skills from the crew,Couple Leisure,,3,0,ed213081-ccc8-4e8e-ac33-0641ac477bf9
,United Airlines,Economy Class,October 2017,29th October 2017,0,5,5,UnitedStates,10.0,yes,"Returning home from Chicago to Portland on United Airlines (UA1836) after a week of travel I found myself in the middle seat behind the exit row with very little leg room. It could have been a rough flight but our flight attendants, were amazing! It was obvious they had this positive effect on other travelers as well. Good job and thanks for the lift!",Chicago to Portland,3,5,united-airlines,flight attendants amazing,Business,,5,0,e59ae941-bbfc-49f3-89c1-3c78d8df4595
,United Airlines,Economy Class,October 2017,28th October 2017,0,0,2,UnitedStates,1.0,no,"Chicago O’Hare to Santa Ana. Worst gate customer service ever! I went to ask questions about seating and didn’t even finished my question yet  “her respond was we have a full flight, single seating we have a full flight” and shook her head at the same time. Ok, I understand seating is full but does she need to be rude about it? Is this United Airlines value for customers service? I’m very disappointed and even though my review may not make a difference it is frustrating and sad knowing that a big known company such as United airlines don’t value their customers.",Chicago O’Hare to Santa Ana,2,3,united-airlines,don’t value their customers,Business,,2,0,e109c635-c1a3-4818-923d-70462588edab
,United Airlines,Economy Class,October 2017,28th October 2017,0,0,1,UnitedStates,1.0,no,"Flew United Airlines from Chicago to Kalamazoo. Terrible customer service. The gentlemen working at the desk would not provide any information for the delay, and would not look me in the eyes while talking to me. They do not care about their customers, and their planes always seem to break down. Shame on me for flying United.",Chicago to Kalamazoo,1,3,united-airlines,Terrible customer service,Business,,1,0,13577169-69c0-4ab6-bd22-42ed340b2b17
Boeing 737,United Airlines,Economy Class,October 2017,28th October 2017,0,0,5,UnitedStates,10.0,yes,Denver to Spokane. Had to call them today for my sons return flight back home. And the customer service rep was fantastic she knew what would be best to accommodate my sons disorder and immediately took care of getting his seat accommodations handled. She was very pleasant and took care of it quickly and efficiently. Will fly them again.,Denver to Spokane,5,5,united-airlines,customer service rep was fantastic,Solo Leisure,,5,0,caba23ab-4aba-4b8a-b8e3-5d1a8016be45
,United Airlines,Economy Class,October 2017,27th October 2017,1,1,3,UnitedStates,2.0,no,"Los Angeles to Philadelphia via Chicago. United used to be a good airline company. In the past, if you’d book a coach seat, you would have a carry-on and a check-in bag included, and if you had an extra bag, it was still ok, no extra fee. You would get a free meal, and the entertainment, although it was on the minimalist side (because technology was not what it is today), was properly working (at least, most of the time). Not anymore. Today, well, where do I start? You book a basic economy seat for a price that is proportionally the same as for an economy flight in the past, and you have to pay for virtually every single thing on top of that. Only one small item allowed with you on the plane (I guess United figured that you might need a pair of extra underwear and socks if you go to the other side of the country) and they will give you a hard time if you bring a second one (like your camera bag, for instance). Which means that, if you bring a small item with you, along with a luggage of carry-on size, they will ask you to check that luggage in and you will have to pay a $25 fee. If you have an actual check-in luggage on top, that will be considered second check-in luggage, an extra $35. If you book a round trip, that’s already an extra $120 on top of your ticket price. Now, note that I am traveling alone. Imagine being in that situation with a family. Once you are on the plane, no meal other than the usual boring pretzels and a glass of cheap soda or juice. Prices for extra food/drinks are, of course, comfortably marked-up (food and drinks that are of questionable quality). I’m not even mentioning the ever missing extra blankets despite the still totally dysfunctional temperature management on the plane. Now, moving onto the entertainment part: extraordinarily, United has managed to make the ticket payer, use your own electronic devices and ear sets, so they can save thousands of dollars by not having to build-in an entertainment system for your plane section. How amazingly smart is that? Instead, they royally connect you to their internal server (of course, if you want real internet, it’s extra. And not cheap) and allow you to download a ridiculously impractical software plug-in that, if you ever finally manage to download and use it, turns out to be the worst piece of garbage I’ve ever used on a plane to watch a movie. I eventually had to stop the experience. You simply can’t deal with a movie that is so chopped up by the constant disconnections from the server that it becomes literally unwatchable. By the way, absolutely zero electric or USB plug anywhere around your seat to recharge your devices. Only in selective rows. So, what comes next, United? Paying to use the toilets on the plane? Charging a fee to bring our own device? Another fee to have a reclining seat? Where does it end? How much money can you still manage to save on the back of the customer? Lately, almost every single time I took a United flight, I felt they were simply trying to squeeze every dollar out of the customer. I couldn’t wait to get out of the plane. Yes, you can always say other companies pull their own tricks on customers, that you have expenses, that the market is bad, etc. I travel all over the world, and many companies that belong to so-called “developing countries” are better than United Airlines and treat their customers better than they do. As far as I’m concerned, From now on, I am going to make sure of one thing: to only put my feet on United Airlines planes if I have absolutely no other choice.",Los Angeles to Philadelphia via Chicago,1,3,united-airlines,couldn’t wait to get out of the plane,Solo Leisure,,1,1,349ff6ff-a0b9-476b-89fd-c8b1fd46e4ef
,United Airlines,Economy Class,October 2017,26th October 2017,2,2,1,UnitedStates,1.0,no,"Seattle to Dallas via Houston. Worst airline I have ever flown in the world. Their ground staff, phone customer service, email response everything is pathetic. Frequent delays, poor service is unparalleled. Only business they’d get from me is because of their fleet size they have flights options suitable for me. I have promised myself to not fly United until that is my last option available.",Seattle to Dallas via Houston,2,1,united-airlines,poor service is unparalleled,Business,,2,3,ae54df28-fee0-43c9-b3db-12c762b0f372
,United Airlines,Economy Class,October 2017,26th October 2017,1,0,2,UnitedStates,1.0,no,"Chicago to San Jose. Paid $140 for a basic one way flight, and I could not choose my seats, and bring a simple duffel bag. I have flown many other airlines such as Alaska, southwest, virgin, American Airlines, and they did not charge me for my duffel bag and they even let me sit where I choose once I board the plane.",Chicago to San Jose,1,3,united-airlines,could not choose my seats,Solo Leisure,,1,1,e52815c8-607b-4709-b2ae-9d96479b7b8f
,United Airlines,Economy Class,October 2017,25th October 2017,1,1,1,UnitedStates,1.0,no,"Flew Houston to San José. Unfortunately, United is the most convenient option to travel to SJO, nonetheless, I will try to avoid flying with this airline from now on. I can’t overstate how despicable and negligent they are, and how completely impervious they are to their customer concerns or needs. They can keep their miles. Pathetic International ""service"" with no luggage room.",Houston to San José ,1,1,united-airlines,They can keep their miles,Solo Leisure,,2,1,e4b3e3c2-6b0f-4250-a80b-a3552480e0b8
,United Airlines,Economy Class,October 2017,23rd October 2017,0,0,1,UnitedStates,1.0,no,"Albuquerque to San Francisco. First, our flight was cancelled and they texted us with an alternative flight leaving a day later, with a 9 hour layover! I'm, excuse me? Since this was a weekend trip we would have had to turn around and get back on a flight back to SF a few hours later. I called and they didn't even offer the option to refund the ticket! I finally got us on an alternative flight leaving earlier after waiting for 30 minutes to speak with a supervisor because the person I initially spoke with had no power to do anything to help. We ended up flying Alaska Airlines on the way there and I wish we had originally booked through them because the way back was awful. They wouldn't seat my partner and I together because we were flying Economy class, which they reminded us of repeatedly when I complained. The agents claimed they had no power to do anything because of the computer system which randomly selects your seats. I asked what about people traveling with small children and they didn't seem to have an answer. As if we got a better deal than with any other airline out there after all the bag fees. Oh yeah, that's another thing. The Economy class/the majority of the people flying have no carryon allowance. By the way, when we got on the flight we were able to sit next to each other because the seats next to us weren't even occupied. Ridiculous. Never flying United again. I've been bumped off of flights and had bad experiences before but this was the last straw for me.",Albuquerque to San Francisco,3,3,united-airlines,Never flying United again,Couple Leisure,,1,0,2b68c3ec-32a8-4d50-bc39-1869acc469c9
Boeing 737-300,United Airlines,Economy Class,October 2017,21st October 2017,0,1,5,UnitedStates,2.0,no,Boise to Hilo via Los Angeles. The seats reclined 2-3 inches and were too small for a tall person and no padding in the seats. The plugs to charge you phones were hard to reach and some didn't even work. You only got a tiny bag of pretzels for a snack. Not worth it for the money.,Boise to Hilo via Los Angeles,1,4,united-airlines,seats were too small,Couple Leisure,,1,0,7111a4be-10f9-4c3c-b208-39de25b2849b
,United Airlines,Economy Class,October 2017,19th October 2017,1,1,1,UnitedStates,1.0,no,Chicago to Washington. Horrible experience! I had 2 small bags first customer service said it was ok. Went to board the plane they pulled me out of line called me a liar and then charged me double for a bag the size of my brief case. Will never fly again on this horrible airline that doesn't care about their customers.,Chicago to Washington,2,2,united-airlines,Horrible experience!,Business,,1,1,191fb7e3-f7b5-4fa7-99be-fe873e545ff5
Boeing 737,United Airlines,First Class,October 2017,19th October 2017,1,4,3,UnitedStates,5.0,no,"Flew San Francisco to Cincinnati. First time flying with United. First class left much to be desired. Typically when we have flown in First, we are offered a beverage while waiting for passengers to board and during taxi. Not the case with our flight. Finally offered beverage after we took off and in plastic glass. There was no movie, no entertainment whatsoever. Food was fabulous. Seats comfortable but beyond that I cannot call it First Class! No pillows! No snacks! Did have a cheap blanket. Flight attendants, well..",San Francisco to Cincinnati ,4,2,united-airlines,First class left much to be desired,Couple Leisure,,1,1,92787d09-c1ce-4184-acfa-b84f0ecee120
,United Airlines,Economy Class,October 2017,18th October 2017,4,4,4,UnitedStates,10.0,yes,"So I just wanted to come on here to praise United for letting me reschedule my flight when I got sick. They waved the rescheduling fee, and were incredibly nice about it - I didn't really even have to ask. I know no airline is perfect, but I consider this to be a reflection that United certainly isn't the worst, and they can treat their customers well! Will be flying United again whenever I get the chance.",Cleveland to Houston,4,4,united-airlines,treat their customers well,Solo Leisure,,3,0,11946601-c305-4e00-80c5-cd89bf5dcd69
